id_ato_linkado,pdf,status_validacao,motivo_falha
10_11.10.2019-R20,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (250), mas N° Processo (0700005342015) não encontrado"
10_11.10.2019-R21,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (1116), mas N° Processo (0700007802011) não encontrado"
10_11.10.2019-R22,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (370), mas N° Processo (0700008842012) não encontrado"
10_11.10.2019-R23,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (8791), mas N° Processo (0700011722010) não encontrado"
10_11.10.2019-R24,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (303), mas N° Processo (0700010972011) não encontrado"
10_11.10.2019-R25,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,"Valor OK (299), mas N° Processo (0700022312016) não encontrado"
10_11.10.2019-R3,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (354000) E Processo (0030300000580201930) não encontrados no PDF
10_11.10.2019-R4,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (740000) E Processo (0030300000617201920) não encontrados no PDF
10_11.10.2019-R58,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
10_11.10.2019-R59,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
10_11.10.2019-R60,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (1432764) E Processo (0005000062452201836) não encontrados no PDF
10_11.10.2019-R61,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (17379900) E Processo (0005035881201911) não encontrados no PDF
10_11.10.2019-R7,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
10_11.10.2019-R9,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (666000) E Processo (0012100001497201952) não encontrados no PDF
11_30.10.2019-R1,DODF 207 30-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
11_30.10.2019-R2,DODF 207 30-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
11_30.10.2019-R32,DODF 207 30-10-2019 INTEGRA.pdf,invalidado,Valor (65138971) E Processo (0011300014957201993) não encontrados no PDF
12_16.1.2019-R19,DODF 011 16-01-2019 INTEGRA.pdf,invalidado,Valor (4655000) E Processo (0011200017634201807) não encontrados no PDF
12_16.1.2019-R20,DODF 011 16-01-2019 INTEGRA.pdf,invalidado,Valor (33196284) E Processo (2200015352016) não encontrados no PDF
12_16.1.2019-R21,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R22,DODF 011 16-01-2019 INTEGRA.pdf,invalidado,Valor (42775188) E Processo (00970009162017) não encontrados no PDF
12_16.1.2019-R23,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R24,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R25,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R26,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R27,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R28,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
